"名称","建筑类型","朝代","建造年代","地理位置","建造者","自然科学成就","简介"
"阿房宫","皇宫","秦","前212年","陕西西安","秦始皇嬴政","秦代宫殿建筑技术巅峰，采用高台建筑形式，规模宏大；前殿东西500步、南北50丈，上可坐万人，体现秦代土木工程与夯土技术成就","秦代大型宫殿建筑的代表，以宏阔尺度和高台形制著称。"
"未央宫","皇宫","西汉","前200年","陕西西安","萧何","西汉大朝正宫，总面积约5平方千米，利用龙首原丘陵地势修建高台建筑，前殿夯土台基残高15米，体现汉代选址与夯土技术","西汉都城长安最重要的皇家宫殿群，奠定汉代宫殿格局。"
"长乐宫","皇宫","西汉","前202年","陕西西安","萧何","西汉主要宫殿之一，周长约10千米，采用前朝后寝布局，体现汉代宫殿规划思想","西汉早期核心宫殿之一，是研究汉代宫廷布局的重要遗址。"
"建章宫","皇宫","西汉","前104年","陕西西安","汉武帝刘彻","西汉皇家宫殿，号称千门万户，采用一池三山园林布局，开创中国皇家园林规划先河","汉武帝时期扩建的大型皇家宫苑，体现宫殿与园林结合的特点。"
"太极宫","皇宫","隋唐","582年","陕西西安","宇文恺","隋唐长安城主要宫殿，采用三朝制度布局，承天门凹形宫阙设计，影响后世宫殿形制","隋唐长安城中枢宫殿，对后世宫城制度影响深远。"
"大明宫","皇宫","唐","634年","陕西西安","唐太宗李世民","唐代最大宫殿群，面积约3.2平方千米，相当于明清故宫4.5倍；含元殿凹形宫阙形制开创宫殿建设典范，对东亚宫殿建筑产生深远影响","唐代最具代表性的皇家宫殿群，体现盛唐宫殿营造水平。"
"紫禁城（故宫）","皇宫","明清","1406年始建，1420年建成","北京","蒯祥等","世界最大最完整的木质古建筑群，占地72万平方米；采用模数化设计，以斗口为基本模数；太和殿面阔11间，重檐庑殿顶，代表中国古代木构建筑最高水平","明清两代皇宫，是中国现存最完整的古代宫殿建筑群。"
"沈阳故宫","皇宫","后金至清","1625年始建，1636年后续建成","辽宁沈阳","努尔哈赤、皇太极","满蒙汉建筑风格融合典范，大政殿与十王亭的帐殿式布局体现满族八旗制度，融合汉式宫殿与满族特色","后金至清初皇家宫殿，是满汉建筑文化融合的重要实物。"
"南京明故宫","皇宫","明","1366年","江苏南京","明太祖朱元璋","明代第一座皇家宫殿，开创明清宫殿中轴对称布局先河，北京故宫以其为蓝本建造","明初皇宫遗址，北京故宫的制度与布局多承其影响。"
"赵州桥","桥梁","隋","605年","河北赵县","李春","世界现存最古老的敞肩石拱桥，首创敞肩拱结构，比欧洲同类桥早700年；主拱跨度37.02米，拱高仅7.23米，大跨度低弧线设计；采用28道独立拱券并列砌筑，增强抗震性能","中国古代石拱桥杰作，以敞肩拱技术闻名于世界桥梁史。"
"洛阳桥","桥梁","宋","1059年","福建泉州","蔡襄","中国现存最早的跨海石桥，首创筏形基础技术、种蛎固础技术和浮运悬机架桥技术三大创新，解决了跨海建桥基础难题","宋代跨海梁式石桥代表，集中体现古代海桥建造智慧。"
"卢沟桥","桥梁","金","1192年","北京丰台","金朝","北京现存最古老的联拱石桥，11孔联拱结构，各孔净跨径和矢高均不相等，边孔小中孔大，结构合理；桥栏石狮雕刻精美，形态各异","华北地区著名古桥，以联拱结构和石狮雕刻著称。"
