名称,建筑类型,朝代,建造年代,地理位置,建造者,自然科学成就,简介
故宫,皇宫,明,1420年,,,于明代永乐十八年（1420年）建成，是明、清两代的皇宫，汉族宫殿建筑之精华，无与伦比的古代建筑杰作，世界现存最大、最完整的木质结构的古建筑群,故宫在中国北京市市中心，旧称紫禁城。于明代永乐十八年（1420年）建成，是明、清两代的皇宫，汉族宫殿建筑之精华，无与伦比的古代建筑杰作，世界现存最大、最完整的木质结构的古建筑群。故宫全部建筑由“前朝”与“内廷”两部分组成，四周有城墙围绕。四面由筒子河环抱。城四角有角楼。四面各有…
北京故宫,皇宫,明,1406年,北京中轴线的中心,明成祖朱棣永乐四年（公元1406年）,北京故宫，全名北京故宫博物院，旧称为紫禁城，位于北京中轴线的中心，是中国明、清两代24位皇帝的皇家宫殿，是中国古代汉族宫廷建筑之精华，无与伦比的建筑杰作，也是世界上现存规模最大、保存最为完整的木质结构的古建筑之一；北京故宫由明成祖朱棣永乐四年（公元1406年）开始建设，以南京故宫为蓝本营建，到明代永乐十八年（公元1420年）建成，占地面积约为72万平方米，建筑面积约为15万平方米，它是一座长方形城池，东西宽七百五十三米，南北长九百六十一米,北京故宫，全名北京故宫博物院，旧称为紫禁城，位于北京中轴线的中心，是中国明、清两代24位皇帝的皇家宫殿，是中国古代汉族宫廷建筑之精华，无与伦比的建筑杰作，也是世界上现存规模最大、保存最为完整的木质结构的古建筑之一。它有大小宫殿七十多座，房屋九千余间，以太和、中和、保和三大殿为中…
沈阳故宫,皇宫,清,1625年,辽宁省沈阳市沈河区,,沈阳故宫按照建筑布局和建造先后，可以分为3个部分：东路、中路和西路,沈阳故宫，又称盛京皇宫，位于辽宁省沈阳市沈河区，为清朝初期的皇宫。沈阳故宫始建于清太祖天命十年（1625年），建成于清崇德元年（1636年）。总占地面积63272平方米，建筑面积18968平方米。它不仅是中国仅存的两大皇家宫殿建筑群之一，也是中国关外唯一的一座皇家建筑群。清朝迁…
阿房宫,皇宫,秦,前212年,陕西西安,秦始皇嬴政,秦代宫殿建筑技术巅峰，采用高台建筑形式，规模宏大；前殿东西500步、南北50丈，上可坐万人，体现秦代土木工程与夯土技术成就,
平遥县衙,官府,元,1346年,山西省 晋中市平遥古城内 [1],,平遥县衙坐落于平遥古城中心，始建于北魏，定型于元明清，保存下来最早的建筑在元至正六年（1346年），距今已有六百多年的历史，整座衙署坐北朝南，呈轴对称布局，南北轴线长二百余米，东西宽一百余米，占地26000余平方米,平遥县衙坐落于平遥古城中心，始建于北魏，定型于元明清，保存下来最早的建筑在元至正六年（1346年），距今已有六百多年的历史，整座衙署坐北朝南，呈轴对称布局，南北轴线长二百余米，东西宽一百余米，占地26000余平方米。平遥县衙，这座古县衙的主要建筑均有楹联，如大堂楹联：“吃百姓之…
恭王府,民居,清,1851年,,,恭王府（Prince Gong’s Mansion）国家重点文物保护单位，为清代规模最大的一座王府，曾先后作为和珅、永璘的宅邸,恭王府（Prince Gong’s Mansion）国家重点文物保护单位，为清代规模最大的一座王府，曾先后作为和珅、永璘的宅邸。1851年恭亲王奕訢成为宅子的主人，恭王府的名称也因此得来。恭王府历经了清王朝由鼎盛而至衰亡的历史进程，承载了极其丰富的历史文化信息，故有了“一座恭王…
乔家大院,民居,清,1756年,山西祁县,乔氏家族,晋商民居代表，6个大院19个小院313间房屋；全封闭城堡式建筑群，体现清代商宅建筑规制与装饰艺术,
马氏庄园,民居,清,1644年,安阳市安阳县蒋村镇西蒋村 [9],,马氏庄园位于河南省安阳市西部20公里的西蒋村，是清代广东巡抚马丕瑶的府第，建于清光绪至民国初期，保存完好，占地面积20000多平方米，其中建筑面积5000多平方米，被学者称为“中州大地绝无仅有的封建官僚府第建筑标本”，“中原第一官宅”，是全国重点文物保护单位，国家AAAA级旅游景区，全国红色旅游经典景区，河南省廉政教育基地,马氏庄园位于河南省安阳市西部20公里的西蒋村，是清代广东巡抚马丕瑶的府第，建于清光绪至民国初期，保存完好，占地面积20000多平方米，其中建筑面积5000多平方米，被学者称为“中州大地绝无仅有的封建官僚府第建筑标本”，“中原第一官宅”，是全国重点文物保护单位，国家AAAA级旅游…
福建土楼,民居,明,1644年,福建省永定区、南靖县、华安县 [6],,福建土楼，分布于福建和广东两省，主要有龙岩市境内的永定土楼，漳州市境内的南靖土楼、华安土楼、平和土楼、诏安土楼、云霄土楼、漳浦土楼以及泉州土楼等,福建土楼，分布于福建和广东两省，主要有龙岩市境内的永定土楼，漳州市境内的南靖土楼、华安土楼、平和土楼、诏安土楼、云霄土楼、漳浦土楼以及泉州土楼等。福建土楼产生于宋元，成熟于明末、清代和民国时期。土楼以石为基，以生土为主要原料，分层交错夯筑，配上竹木作墙骨牵拉，丁字交叉处则用木定…
安济桥,桥梁,隋,605年,坐落于今河北省赵县南的洨河之上,李春,隋大业（605～617）年间建成的敞肩石拱桥,隋大业（605～617）年间建成的敞肩石拱桥。又称 赵州桥 。
广济桥,桥梁,元,1171年,潮州古城东门外,,广济桥以集梁桥、浮桥、拱桥于一体的独特风格，与赵州桥、洛阳桥、卢沟桥并称中国著名古桥,广济桥，古称康济桥、丁侯桥、济川桥，俗称湘子桥，位于潮州古城东门外，横跨韩江，联结东西两岸，为古代闽粤交通要津。广济桥以集梁桥、浮桥、拱桥于一体的独特风格，与赵州桥、洛阳桥、卢沟桥并称中国著名古桥。该桥始建于南宋乾道七年（公元1171年），至明嘉靖九年（公元1530年）形成“十…
安平桥,桥梁,民国,1138年,福建省泉州晋江市安海镇兴安路3号 [11],,安平桥（Anping Bridge），曾用名五里桥、西桥、安海桥，是中国福建省泉州市境内连接晋江市和南安市的一座桥梁，是世界上中古时代最长的梁式石桥，也是中国现存最长的海港大石桥，是古代桥梁建筑的杰作，享有“天下无桥长此桥”之誉,安平桥（Anping Bridge），曾用名五里桥、西桥、安海桥，是中国福建省泉州市境内连接晋江市和南安市的一座桥梁，是世界上中古时代最长的梁式石桥，也是中国现存最长的海港大石桥，是古代桥梁建筑的杰作，享有“天下无桥长此桥”之誉。安平桥始建于南宋绍兴八年（1138年），绍兴二十…
洛阳桥,桥梁,元,1041年,洛阳江水道之上,,洛阳桥（Luoyang Bridge），曾用名“万安桥”，在万安桥（洛阳桥）尚未修建之时，这里原有古渡口——万安渡（亦名洛阳渡），故名,洛阳桥（Luoyang Bridge），曾用名“万安桥”，在万安桥（洛阳桥）尚未修建之时，这里原有古渡口——万安渡（亦名洛阳渡），故名。洛阳桥是现存最早的跨海梁式石桥，是中国福建省泉州市境内连接台商投资区和洛江区的一座桥梁，位于洛阳江水道之上，素有“海内第一桥”之誉，是古代“四…
五亭桥,桥梁,清,1757年,国家5A级景区——江苏省扬州市瘦西湖内,,中秋之夜，可感受到“面面清波涵月影，头头空洞过云桡，夜听玉人箫”的绝妙佳境，具有极高的桥梁工程技术和艺术水平,五亭桥有“中国最美的桥”之称，是古代桥梁建筑的杰作。位于国家5A级景区——江苏省扬州市瘦西湖内，是扬州市的地标建筑，五亭桥始建于乾隆二十二年（1757年），是仿北京北海的五龙亭和十七孔桥而建的，又叫莲花桥。“上建五亭、下列四翼，桥洞正侧凡十有五。”建筑风格既有南方之秀，也有北方…
玉带桥,桥梁,清,1795年,北京颐和园昆明湖长堤上,,全国各地有许多桥梁名曰“玉带桥”,全国各地有许多桥梁名曰“玉带桥”。其中最著名的一座位于北京颐和园昆明湖长堤上，建于清乾隆年间（公元1736-1795年）。该桥单孔净跨11.38米，矢高约7.5米，全部用玉石琢成，桥面是双反向曲线，组成波形线桥型，配有精制白石栏板，显得格外富丽堂皇。其它的如江西省信丰县玉带桥，…
泸定桥,桥梁,清,1705年,,,泸定桥（Luding Chain Bridge），又名大渡桥，是中国四川省甘孜藏族自治州泸定县泸桥镇境内的一座跨大渡河铁索桥，为泸定桥风景区的主要景观文物,泸定桥（Luding Chain Bridge），又名大渡桥，是中国四川省甘孜藏族自治州泸定县泸桥镇境内的一座跨大渡河铁索桥，为泸定桥风景区的主要景观文物。泸定桥始建于清康熙四十四年（1705年）九月，于清康熙四十五年（1706年）四月投入使用；于1961年3月4日被纳入中国首…
未央宫,皇宫,汉,前200年,陕西省西安市未央区,,未央宫是中国古代规模最大的宫殿建筑群之一，总面积约5平方千米，亭台楼,未央宫，西汉帝国的大朝正宫，汉朝的政治中心和国家象征，建于汉高祖七年（前200年），由刘邦重臣萧何监造，在秦章台的基础上修建而成，位于汉长安城地势最高的西南角龙首原上，因在长安城安门大街之西，又称西宫。自未央宫建成之后，西汉皇帝都居住在这里，成为汉帝国200余年间的政令中心，所…
长乐宫,皇宫,汉,前202年,未央宫东,,长乐宫是中国汉代的“三宫”之一，属于西汉皇家宫殿群,长乐宫是中国汉代的“三宫”之一，属于西汉皇家宫殿群。与未央宫、建章宫同为汉代三宫。汉高祖之后为太后居所。因其位于未央宫东，又称东宫。意为“长久快乐”，长乐宫总面积约6平方公里，相当于约8个故宫大小。（故宫总面积为0.72平方公里）。
太极宫,皇宫,隋,582年,长安城中轴线北部,,宫城城墙为夯土板筑，墙壁高三丈五尺（合10．3米），墙基宽一般在18米左右，只有东城墙部分的宽度是14米多,太极宫位于长安城中轴线北部，始建于隋文帝开皇二年（582年），隋称大兴宫，唐睿宗景云元年(710年)改称太极宫。因其为唐帝国的正宫，故又称“京大内”，唐高宗时期修大明宫后改称太极宫为“西内”。太极宫之南为皇城，北倚长安北墙，北墙外为西内苑，内苑之北为禁苑（隋大兴苑），东西两侧分…
紫禁城,皇宫,明,1420年,中天,,紫禁城（Forbidden City）是中国明、清两代24个皇帝的皇宫,紫禁城（Forbidden City）是中国明、清两代24个皇帝的皇宫。明朝第三位皇帝朱棣迁都北京，开始营造紫禁城宫殿，至明永乐十八年（1420年）落成。依照中国古代星象学，紫微垣位于中天，乃天帝所居，天人对应，是以皇帝的居所又称紫禁城。
宝带桥,桥梁,清,816年,江苏省苏州市城南街道,,宝带桥（Baodai Bridge），别名长桥，是中国江苏省苏州市境内的一座桥梁，南北横卧于大运河和澹台湖之间的玳玳河口，与古运河平行，是中国古代十大名桥之一，也是中国现存的古代桥梁中，最长的一座多孔石桥，是中国现存最长、保存最完整的一座大型古代连拱石桥；明正统十一年（1446年），宝带桥重新建设，形制与规模多基本沿袭至今,宝带桥（Baodai Bridge），别名长桥，是中国江苏省苏州市境内的一座桥梁，南北横卧于大运河和澹台湖之间的玳玳河口，与古运河平行，是中国古代十大名桥之一，也是中国现存的古代桥梁中，最长的一座多孔石桥，是中国现存最长、保存最完整的一座大型古代连拱石桥。宝带桥始建唐元和十一年…
灞桥,桥梁,清,583年,灞河水道之上,,灞桥（Ba Bridge），曾用名情尽桥、断肠桥、销魂桥，是中国陕西省西安市灞桥区境内的一座桥梁，位于灞河水道之上，是中国历史上最古老、久负盛名而又相当宏伟的一座桥，是中国古代十大名桥之一，曾是西安东去的一条必经通道,灞桥（Ba Bridge），曾用名情尽桥、断肠桥、销魂桥，是中国陕西省西安市灞桥区境内的一座桥梁，位于灞河水道之上，是中国历史上最古老、久负盛名而又相当宏伟的一座桥，是中国古代十大名桥之一，曾是西安东去的一条必经通道。春秋时期，秦穆公称霸西戎，将滋水改为灞水并修桥，故称“灞桥”…
内乡县衙,民居,元,1304年,河南省南阳市内乡县城东大街,,据《内乡县志》记载，县衙始建于元大德八年(公元1304年)，历经明、清多次维修和扩建，逐渐形成一组规模宏大的官衙式建筑群,内乡县衙，国家4A级文化旅游景区，位于河南省南阳市内乡县城东大街。据《内乡县志》记载，县衙始建于元大德八年(公元1304年)，历经明、清多次维修和扩建，逐渐形成一组规模宏大的官衙式建筑群。内乡县衙座北面南，占地面积8500平方米，中轴线上排列着主体建筑大门、大堂、二堂、迎宾厅、…
浮梁县衙,官府,清,816年,江西省景德镇市浮梁县浮梁镇旧城村,,浮梁县衙，位于江西省景德镇市浮梁县浮梁镇旧城村，始建于唐朝元和十一年（816年）,浮梁县衙，位于江西省景德镇市浮梁县浮梁镇旧城村，始建于唐朝元和十一年（816年）。按照清道光《浮梁县志》中的浮梁县署分布图记载，县衙坐北朝南，主体建筑在东、中、西轴上，呈三列由南向北依次排列，中轴线上分布有照壁、头门、仪门、衙院、六房（吏房、户房、礼房、兵房、工房、刑房）、大堂…
叶县县衙,民居,明,1369年,河南省平顶山市叶县东大街,,西侧副线上有古时衙署内工作人员办公及休息的西群房，有知县反省自身功过的虚受堂、思补斋及南北书房等建筑，布局合理，风格古朴，充分显示了明代县级政权官署衙门的规制和风貌；叶县县衙建筑群落布局合理、规模宏大，其建筑形式融南北之风格，对研究中国古代建筑的风格、流派特点及变化规律等都具有重要价值,叶县县衙，位于河南省平顶山市叶县东大街，占地面积16848平方米，始建于明洪武二年（1369年）。叶县县衙是由中轴线及东、西两侧副线三部分建筑群组成的，除了位于中轴线上的大堂、二堂、三堂外，其东侧副线上由南向北依次分布着监狱、厨院、知县宅等建筑。西侧副线上有古时衙署内工作人员办…
临晋县衙,官府,民国,1307年,山西省临猗县城西北20公里的临晋镇,,临晋县衙位于山西省临猗县城西北20公里的临晋镇，为元代时临晋县衙署所在地,临晋县衙位于山西省临猗县城西北20公里的临晋镇，为元代时临晋县衙署所在地。廨署创建于元大德间(1279～1307年)。明清两代及民国年间均有修葺，大堂的梁脊板上留有民国23年（1934年）10月最后一次重修题记。现存主体建筑大堂为元代原构，是山西省目 前保留下来的三处元代大堂建…
直隶总督署,官府,明,1730年,,,1730年（清雍正八年）经过大规模的扩建后正式建立总督署，历经雍正、乾隆、嘉庆、道光、咸丰、同治、光绪、宣统八帝，可谓是清王朝历史的缩影，曾驻此署的直隶总督共59人66任，如曾国藩、李鸿章、袁世凯、方观承等直到1909年清朝末代皇帝逊位才废止,直隶总督署，又称直隶总督部院，是中国一所保存完整的清代省级衙署。原建筑始建于元，明初为保定府衙，明永乐年间改做大宁都司署，清初又改作参将署。1730年（清雍正八年）经过大规模的扩建后正式建立总督署，历经雍正、乾隆、嘉庆、道光、咸丰、同治、光绪、宣统八帝，可谓是清王朝历史的缩影，…
