文化元素,文化类别,起源朝代,核心描述,文化内涵与传承,补充说明
穿斗式木构架,建筑结构文化,汉,穿斗式木构架是中国古代木结构建筑的典型形式，其特点是沿房屋进深方向密集立柱，每柱直接承托檩条形成屋面荷载传递体系，并使用穿枋横向贯穿柱身构成单榀构架，相邻构架间通过斗枋纵向连接形成整体空间结构,穿斗式木构架是中国古代木结构建筑的典型形式，其特点是沿房屋进深方向密集立柱，每柱直接承托檩条形成屋面荷载传递体系，并使用穿枋横向贯穿柱身构成单榀构架，相邻构架间通过斗枋纵向连接形成整体空间结构；该结构至迟在汉代已现雏形，宋元时期技术成熟，主要分布于中国南方长江中下游及西南地区,
里坊制,空间规划文化,唐,里坊制是中国古代主要的城市和乡村规划的基本单位与居住管理制度的复合体,里坊制是在西周时期闾里制度的基础上，演变而成的住区形制,
重檐,建筑结构文化,清,重檐是中国传统建筑中具有两层或多层屋檐的屋顶形式，通过在下层檐叠加檐部形成层级结构，既扩大屋顶与屋身的体积比例，又增添建筑高度与层次韵律,故宫角楼则创新融合三重檐四角攒尖顶与重檐歇山顶结构，展现重檐体系的营造智慧,
歇山顶,建筑形制文化,宋,歇山顶，即歇山式屋顶，宋朝称九脊殿、曹殿或厦两头造，清朝改今称，又名九脊顶,歇山顶，即歇山式屋顶，宋朝称九脊殿、曹殿或厦两头造，清朝改今称，又名九脊顶；为古代汉族建筑屋顶样式之一，在规格上仅次于庑殿顶,
四合院文化,空间规划文化,元,四合院文化是传统民居形态，四合院又称四合房，由正房、倒座、东厢房及西厢房四面围合成中心庭院，具有规整的平面形制与独立房体布局特点,北京四合院通过四向房屋的方位象征与空间组合体现文化内涵，相较于南方天井式建筑的四合院楼房及转角相连形式，北京四合院以开阔庭院与独立房屋布局为特色；其设计体现了天人合一、人与自然和谐相处的哲学思想,
照壁,建筑形制文化,明,照壁是中国古代汉族传统建筑特有的部分,另一说法为照壁是中国受风水意识影响而产生的一种独具特色的建筑形式，称“影壁”或“屏风墙”,
里坊,空间规划文化,春秋,里坊制的确立期，相当于春秋至汉,里坊制的确立期，相当于春秋至汉；把全城分割为若干封闭的“里”作为居住区，商业与手工业则限制在一些定时开闭的“市”中,
斗拱,建筑结构文化,商周至明清,中国木构建筑的核心构件，由斗、拱、昂三部分组成,斗拱是中国木构建筑的灵魂，兼具结构与装饰功能。从唐代雄大简练到明清精致繁密，斗拱的演变折射出中国建筑技术的发展。斗拱层数与建筑等级严格对应，太和殿用九踩斗拱，民居禁用，清晰勾勒出社会等级秩序。斗拱的抗震消能机制体现了中国古人以柔克刚的哲学智慧，这一结构原理至今仍被现代建筑抗震设计借鉴。,
榫卯结构,建筑结构文化,河姆渡时期至明清,中国木构建筑的基本连接方式，不用钉子实现构件牢固结合,榫卯是中国木构建筑最根本的技术基因，河姆渡遗址已发现7000年前的榫卯构件。不用一钉一铆实现构件牢固结合，体现了以柔克刚、顺应自然的哲学思想。榫卯的柔性连接使建筑具有良好抗震性能，这种智慧至今影响着现代建筑连接技术的设计理念。,
抬梁式木构架,建筑结构文化,商周至明清,中国北方主要木构架形式，在柱子上放梁、梁上放短柱、短柱上放短梁,抬梁式是中国北方官式建筑的主流结构形式，从唐佛光寺到清故宫一脉相承。其优点是室内空间开阔，适合宫殿、庙宇等大型建筑。抬梁式的模数化设计体系以材分制为基础，实现了建筑设计的标准化和规范化，这一思想领先西方数百年。,
