姓名,朝代,生卒年,籍贯,身份,主要贡献,科学家精神,简介
李诫,宋,1035年—1110年,郑州管城县（今河南新郑）,建筑学家,曾主持修建了开封府廨、太庙及钦慈太后佛寺等大规模建筑，编写了中国第一本详细论述建筑工程做法的著作《营造法式》,严谨求实，重视规划、设计与实践结合,李诫（1035年—1110年），字明仲，郑州管城县（今河南新郑）人，北宋著名建筑学家。曾主持修建了开封府廨、太庙及钦慈太后佛寺等大规模建筑，编写了中国第一本详细论述建筑工程做法的著作《营造法式》。除主要从事建筑工作外，还一度当过虢州知州，在地方甚有政绩。1110年（大观四年）二…
鲁班,春秋,公元前 507年 [2 ]-公元前 444年 [2 ],鲁国,工匠,墨子主张制造实用生产工具的思想也影响了鲁班，此后发明创造出曲尺、墨斗、刨子、凿子、锯子、石磨、瓦当、钩钜等工具,勇于创新，敢于突破传统工艺与结构限制,鲁班（公元前507年—公元前444年），姬姓，公输氏，名班，人称公输盘、公输般、班输，尊称公输子，又称鲁盘或者鲁般，惯称“鲁班”。字依智，春秋末期到战国初期鲁国人（都城山东曲阜，故里山东滕州，一说故里为曲阜），中国古代建筑工程家，被建筑工匠尊为祖师。鲁班出生于木工世家，12岁时…
样式雷,清,,,宫廷匠师,“样式雷”，是对清代200多年间主持皇家建筑设计的雷姓世家的誉称,严谨求实，重视规划、设计与实践结合,“样式雷”，是对清代200多年间主持皇家建筑设计的雷姓世家的誉称。 中国清代宫廷建筑匠师家族：雷发达，雷金玉，雷家玺，雷家玮，雷家瑞，雷思起，雷廷昌等。
雷发达,明,明万历四十七年（1619年）-康熙三十二年（1693年）,江西省永修县,清初宫廷“样式房”的掌案（总设计师）,他是清初宫廷“样式房”的掌案（总设计师），世称“样式雷”，被誉为近代世界著名的建筑艺术大师；清代初年，雷发达与堂弟雷发宣，因以建筑工艺见长，应募赴北京修建皇室宫殿,严谨求实，重视规划、设计与实践结合,雷发达，字明所，南康府建昌县梅棠乡新庄（今江西永修县梅棠镇新庄村）人。生于明万历四十七年（1619年），卒于康熙三十二年（1693年），归葬金陵。他是清初宫廷“样式房”的掌案（总设计师），世称“样式雷”，被誉为近代世界著名的建筑艺术大师。清代初年，雷发达与堂弟雷发宣，因以建筑工…
宇文恺,隋,555年-612年11月6日 [33 ],朔方 夏州 ，一说代郡 武川县 [28] [30],宫廷匠师,中国北周至隋朝官员、城市规划和建筑工程专家；隋朝建立后，躲过政治清洗，并负责规划和兴建隋首都大兴城和东都洛阳城及其宫殿衙署,严谨求实，重视规划、设计与实践结合,宇文恺（555年－612年11月6日），字安乐，号名父公子。朔方夏州（治今陕西省靖边县北）人，一说代郡武川县（今内蒙古武川县）人。中国北周至隋朝官员、城市规划和建筑工程专家。宇文恺出身于鲜卑武将功臣世家，自幼博览群书，有巧思，精熟历代典章制度和多种工艺技能。北周末年，累官至上开…
李春,隋,,现今河北邢台临城,桥梁工匠,隋开皇十五年至大业初（595～605）建造赵州桥（安济桥）,精益求精，注重实践积累与技艺传承,李春，隋代造桥匠师。现今河北邢台临城人士。隋开皇十五年至大业初（595～605）建造赵州桥（安济桥）。唐中书令张嘉贞著《安济桥铭》中记有：“赵州蛟河石桥，隋匠李春之迹也，制造奇特，人不知其所以为。”但赵州桥存世1500多年，堪称中国建筑史上的奇迹之一。赵州桥历史悠久、结构奇特、…
梁思成,清,,参与了人民英雄纪念碑、中华,建筑人物,梁思成曾任中央研究院院士（1948年）、中国科学院哲学社会科学学部委员，参与了人民英雄纪念碑、中华人民共和国国徽等作品的设计,严谨求实，重视规划、设计与实践结合,梁思成（1901年4月20日---1972年1月9日），籍贯广东新会，生于日本东京，毕生致力于中国古代建筑的研究和保护，是建筑历史学家、建筑教育家和建筑师。梁思成曾任中央研究院院士（1948年）、中国科学院哲学社会科学学部委员，参与了人民英雄纪念碑、中华人民共和国国徽等作品的设…
林徽因,清,,福建闽县（今福州）,建筑人物,人民英雄纪念碑和中华人民共和国国徽深化方案的设计者、建筑师梁思成的第一任妻子,严谨求实，重视规划、设计与实践结合,林徽因（1904年6月10日－1955年4月1日），女，汉族，福建闽县（今福州）人，出生于浙江杭州。原名林徽音，其名出自“《诗·大雅·思齐》：大姒嗣徽音，则百斯男”。后因常被人误认为当时一作家林微音，故改名徽因。中国著名建筑师、诗人、作家。人民英雄纪念碑和中华人民共和国国徽深化…
郭守敬,元,1231年—1316年,顺德府邢台县（今河北省邢台县）,建筑人物,郭守敬（1231年—1316年），字若思，汉族，顺德府邢台县（今河北省邢台县）人，元朝著名的天文学家、数学家、水利专家,精益求精，注重实践积累与技艺传承,郭守敬（1231年—1316年），字若思，汉族，顺德府邢台县（今河北省邢台县）人，元朝著名的天文学家、数学家、水利专家。官至太史令、昭文馆大学士、知太史院事，卒于元仁宗延祐三年（1316年），享年八十六岁。1276年郭守敬修订新历法，经4年时间制订出《授时历》，通行360多年。…
阎立德,唐,,雍州万年（今陕西西安）,建筑人物,曾受命营造唐高祖山陵，督造翠微、玉华两宫，营建昭陵，主持修筑唐长安城外郭和城楼等；对工艺、绘画造诣颇深，曾主持设计帝后所用服饰,严谨求实，重视规划、设计与实践结合,阎立德（约596~656）北周武帝外孙、唐代建筑家，工艺美术家，画家。名让，字立德，以字行。雍州万年（今陕西西安）人。出身于工程世家，唐武德至贞观年间任尚衣奉御、将作少匠、将作大匠、工部尚书等。曾受命营造唐高祖山陵，督造翠微、玉华两宫，营建昭陵，主持修筑唐长安城外郭和城楼等。对…
